SKILL,TRAINEE,JUNIOR,MIDDLE,SENIOR,SKILL_ID,QUESTION_ID
Язык программирования Python,Отсутствуют знания,Знaю основы Python. Знаю базовые конструкции языка и Использую их по назначению. ,"Умею оптимизировать код, писать алгоритмы и использовать структуры данных. Знаю о других парадигмах языка программирования и Использую другие языки на необходимом уровне для создания удобочитаемых и работающих программ.Понимаю как устроен и работает язык, Понимаю сферы его применения и лучшие практики.

","Знаю другие парадигмы программирования на необходимом уровне для создания удобочитаемых и работающих программ. Использую исходные тексты стандартных библиотек и инструментария для оптимизации и улучшения понимания работы кода. Обладаю углубленными познаниями по языку программирования. Понимаю особенности языка программирования, активно следит за развитием языка",9d6edf36-7306-4d4c-ae69-6a4f799cec9d,61bffe3b-0195-4bd0-8c39-6b958dfce1d8
Базы данных,Отсутствуют знания,Умею работать с релляционными БД (Postgresql),"Умею работать с релляционными БД (Postgresql) и нерялляционными (MongoDB, Redis) ","Умею работать с релляционными БД (MySQL, Postgresql), нерялляционными (MongoDB) и графовыми (Neo4j). Знаю отличия между видами баз данных (NoSQL, SQL, NewSQL). Использую внутренний язык написания запросов (SQL) для каждой базы данных

",8313617c-a6c9-44fa-89cd-f6f37744fc4d,ba0dc4fb-2904-4b0a-8fae-cb8fd5c2c2e4
SQL,Не слышал о таком,Умею писать простые одиночные запросы с минимум условий в одной таблице,"Умею писать межтабличные запросы с использованием JOIN, группировкиб сортировки. Понимаю что такое индексы, хранимые процедуры и функции. Проектирую сущности для конкретной предметной области","Проектирую логически правильную структуру БД (нормальная форма 3). Пишу оптимальные запросы по скорости выполнения. Использую средства и инструменты, предоставляемые СУБД (Postgresql).",e35fe0e0-553f-4d49-9ef8-5b93044a58de,bee15de4-66b4-4ba6-aadc-11d3ff3c3858
"Знание основ верстки, JS",Отсутствуют знания,Умею верстать простые сайты,"Умею верстать адаптивные веб-сайты, используя различные подходы в верстке",Умею обходиться без JavaScript в реализации анимаций,0090aa18-e7ba-45fa-ab8b-0f9a114ad674,cba0b427-6b67-4eaa-b3ba-f5c6ceb7099f
Контроль версий исходников,Бэкап исходников в папку с датой бэкапа,"Умею коммитить и пушить код в репозиторий

","Умею работать с ветками, пулл (мерж) реквестами, решать конфликты изменений","Использование squash, cherry-pick в своей работе. Соблюдение и ведение разработки по заданному gitflow",b97fe0cf-39d2-456f-b204-16caf59cdd99,2ebe7a88-74e3-4671-b4c3-a7622f43456a
Среда программирования (IDE),В основном использует IDE для редактирования текста,Способен эффективно пользоваться меню в IDE. Знаю некоторые тонкости среды,Для самых используемых функций среды Знаю горячие клавиши,"Написал свои расширения для IDE. При работе в IDE чаще использует горячие клавиши, а не мышку",719854e1-765b-4af5-8650-5df24e961943,15e0e2d2-532d-49bf-83fd-106189586f5b
Restful API,Отсутствуют знания,"Знаю что это такое, как работает и зачем нужно. Умею интегрироваться с любым открытым интернет ресурсом. ","Умею писать API для разрабатываемого сервиса. Использует Swagger для базового документирования API сервиса.

","Использует Swagger для полного документирования API сервиса. Знаю и применяет, когда это необходимо, другие способы интеграций gRPC, graphQL, WebSocket и др.",f6c2a626-181f-41f4-9631-4ed20fe98529,df105201-7755-4cd2-83e1-7bbd0df94b86
Авторизация,Отсутствуют знания,Знаю различные виды авторизаций и как их использовать,"Реализует авторизацию в поставленной задаче. Умею интегрировать с сервисами, предоставляющим авторизацию.","Объясняет различия между аутентификацией, авторизацией и идентификацией.",d020e652-84aa-4866-be00-abb778c501f2,3ec0b137-932a-450c-b99a-c48050784723
Кэширование,Отсутствуют знания,"Знаю что это такое, как работает и зачем нужно

",Знаю принципы работы и назначение использования. Умею применять в конкретных задачах,"Знаю разницу между уровнями, видами и способами кэширования.Использует redis, ehcache или hazelcast.",d37b28ac-9a8a-421d-867c-e85b3f703ac4,16c0acd6-9ca2-4c07-9076-ecd1c8901e5d
Тестирование,Не слышал о таком,"Знаю что это такое, как работает и зачем нужно",Умею писать простые тесты для проверки работы кода (Unit-тесты).Знаю другие виды тестирования.,"Умею писать различные виды тестов (unit-тесты, e2e, интеграционные) под конкретнные задачи.",ac431840-66fb-4244-a0f1-e367c9a2d550,a875a714-6283-4727-a7b9-918991d6f913
Шаблоны проектирования,Не слышал о таком,"Знаю что это такое, как работает и зачем нужно.",Знаю и использует шаблоны в работе при написании программного кода.,"Знаю и применяет, когда это необходимо, различные шаблоны проектирования:
1. Порождающие
2. Поведенческие
3. Структурные
Понимаю между ними различия, может привести примеры использования
",e8879cba-1c96-4cce-b73a-9ffe56983c83,f0d20a2e-f2e5-4cfd-8f7b-d182137b4004
Архитектурные паттерны,Не слышал о таком,"Отсутствует опыт работы 

","Знаю что это такое, как работает и зачем нужно.

Знаю отличия между различными архитектурными решениями.

Реализует и спроектирует простое архитектурное решение для конкретной задачи

","Знаю и применяет, когда это необходимо, различные архитектурные паттерны

",a3ecb4f5-1219-460c-bdd8-3de2a7f03195,aa1db7bd-5f21-4f46-8f77-99808c1b2060
Брокеры сообщений,Не слышал о таком,"Будет плюсом:
Знаю что это такое, как работает и зачем нужно","Знаю хотя бы 1 брокер. Знаю различия между протоколами обмена сообщений. Использует брокеры сообщений в тех местах, где это необходимо

","Знаю и применяет, когда это необходимо, опредленный брокер сообщений. Объясняет различия между протоколами обмена сообщений.

",d306caa8-9c47-495b-b027-ff6f4f859e04,25271edc-9fa8-400b-bbba-6dfaf2aee0da
Веб сокеты,Не слышал о таком,"Будет плюсом:
Знаю что это такое, как работает и зачем нужно

",Знаю и применяет веб-сокеты в под конкретные задачи.,Объясняет и обучает примению веб-сокетов под конкретные задачи,17cd8604-2aa0-4220-83d2-bd8b2608a94d,7de33a43-44f2-4cce-bdca-cc85bd36fde3
Контейнеры,Не слышал о таком,"Знаю что это такое, как работает и зачем нужно",Знаю другие виды контейнеризации. Применяет docker под конкретные задачи,"Знаю и применяет, когда это необходимо, различные виды контейнеризации. Объясняет различия между видами контейнеризации.

",9430e006-0e59-49a2-bf4f-103491497580,88ffa529-0941-4d58-a986-80dc6f5e94e2
Веб-сервера,Отсутствуют знания,"Знаю что это такое, как работает и зачем нужно","Знаю и применяет веб-сервера под конкретные задачи. Знаю и применяет веб-сервера (Tomcat, Jetty, Netty)

","Объясняет различия между видами веб-серверов. Адаптирует или расширяет, когда это необходимо, веб-сервер под конкретные задачи",6b180b89-4a93-4df9-9276-a2e7e3b7440a,d91074f2-1481-4159-9ec9-d6c8d1103142
Реактивность и асинхронное программирование,Отсутствуют знания,"Знаю что это такое, как работает и зачем нужно","Применяет подходы реактивного программирования в конктретных задачах. Понимаю как работает реактивность, многопоточность и др. 
","Использует необходимый инструментарий для решения поставленной задачи с правильным использованием ресурсов компьютера (например, распараллеливанием запросов, потоковая обработка и т.д.). Объясняет различия между синхронным, ассинхронным и реактивных подходом",71b82cc0-5a64-44cd-ad0e-df8afa253265,6bb496b8-6895-4d31-b266-cd359ddc9e1c
Автоматизация build'ов,Знаю как запустить Build из среды программирования.,"Умею билдить из командной строки.
",Настраивает скрипт для сборки основной системы.,"Настраивает скрипт для сборки системы в целом и документации, для сборки инсталляторов.Сделает и добавит код скрипта в систему контроля версий исходников.",b148b049-4ba3-4802-a49a-581ff8473d7c,df839bfd-fe11-45d6-a997-a908bfe633c9
Автоматизация тестирования,"Транслирует, что тестирование - это работа тестеров.","Создает свои хорошие юнит-тесты для кода, который пишет в настоящее время.",Пишет код в стиле Test-driven Development (TDD).,"Создает автоматические тесты на функционал, пользовательский интерфейс и загрузку/производительность",00c53738-fe31-44ce-909b-21789d3dc543,e56f3a32-7f86-41e7-be9f-ef40ee3432a5
